Date,Centre_Name,Commodity_Name,Price
01-01-09,CHANDIGARH,Cabbage,NA
01-01-09,DELHI,Cabbage,NA
01-01-09,SHIMLA,Cabbage,NA
01-01-09,SRINAGAR,Cabbage,NA
01-01-09,JAMMU,Cabbage,NA
01-01-09,AMRITSAR,Cabbage,NA
01-01-09,LUDHIANA,Cabbage,NA
01-01-09,LUCKNOW,Cabbage,NA
01-01-09,DEHRADUN,Cabbage,NA
01-01-09,RAIPUR,Cabbage,NA
01-01-09,AHMEDABAD,Cabbage,NA
01-01-09,BHOPAL,Cabbage,NA
01-01-09,MUMBAI,Cabbage,NA
01-01-09,JAIPUR,Cabbage,600
01-01-09,PATNA,Cabbage,NA
01-01-09,RANCHI,Cabbage,NA
01-01-09,BHUBANESHWAR,Cabbage,NA
01-01-09,KOLKATA,Cabbage,NA
01-01-09,GUWAHATI,Cabbage,NA
01-01-09,SHILLONG,Cabbage,NA
01-01-09,AIZWAL,Cabbage,NA
01-01-09,KOHIMA,Cabbage,NA
01-01-09,AGARTALA,Cabbage,NA
01-01-09,BENGALURU,Cabbage,NA
01-01-09,T.PURAM,Cabbage,NA
01-01-09,CHENNAI,Cabbage,NA
01-01-09,HYDERABAD,Cabbage,NA
02-01-09,CHANDIGARH,Cabbage,NA
02-01-09,DELHI,Cabbage,NA
02-01-09,SHIMLA,Cabbage,NA
02-01-09,SRINAGAR,Cabbage,NA
02-01-09,JAMMU,Cabbage,NA
02-01-09,AMRITSAR,Cabbage,NA
02-01-09,LUDHIANA,Cabbage,NA
02-01-09,LUCKNOW,Cabbage,NA
02-01-09,DEHRADUN,Cabbage,NA
02-01-09,RAIPUR,Cabbage,NA
02-01-09,AHMEDABAD,Cabbage,NA
02-01-09,BHOPAL,Cabbage,NA
02-01-09,MUMBAI,Cabbage,NA
02-01-09,JAIPUR,Cabbage,600
02-01-09,PATNA,Cabbage,NA
02-01-09,RANCHI,Cabbage,NA
02-01-09,BHUBANESHWAR,Cabbage,NA
02-01-09,KOLKATA,Cabbage,NA
02-01-09,GUWAHATI,Cabbage,NA
02-01-09,SHILLONG,Cabbage,NA
02-01-09,AIZWAL,Cabbage,NA
02-01-09,KOHIMA,Cabbage,NA
02-01-09,AGARTALA,Cabbage,NA
02-01-09,BENGALURU,Cabbage,NA
02-01-09,T.PURAM,Cabbage,NA
02-01-09,CHENNAI,Cabbage,NA
02-01-09,HYDERABAD,Cabbage,NA
05-01-09,CHANDIGARH,Cabbage,NA
05-01-09,DELHI,Cabbage,NA
05-01-09,SHIMLA,Cabbage,NA
05-01-09,SRINAGAR,Cabbage,NA
05-01-09,JAMMU,Cabbage,NA
05-01-09,AMRITSAR,Cabbage,NA
05-01-09,LUDHIANA,Cabbage,NA
05-01-09,LUCKNOW,Cabbage,NA
05-01-09,DEHRADUN,Cabbage,NA
05-01-09,RAIPUR,Cabbage,NA
05-01-09,AHMEDABAD,Cabbage,NA
05-01-09,BHOPAL,Cabbage,NA
05-01-09,MUMBAI,Cabbage,NA
05-01-09,JAIPUR,Cabbage,NA
05-01-09,PATNA,Cabbage,NA
05-01-09,RANCHI,Cabbage,NA
05-01-09,BHUBANESHWAR,Cabbage,NA
05-01-09,KOLKATA,Cabbage,NA
05-01-09,GUWAHATI,Cabbage,NA
05-01-09,SHILLONG,Cabbage,NA
05-01-09,AIZWAL,Cabbage,NA
05-01-09,KOHIMA,Cabbage,NA
05-01-09,AGARTALA,Cabbage,NA
05-01-09,BENGALURU,Cabbage,NA
05-01-09,T.PURAM,Cabbage,NA
05-01-09,CHENNAI,Cabbage,NA
05-01-09,HYDERABAD,Cabbage,NA
06-01-09,CHANDIGARH,Cabbage,NA
06-01-09,DELHI,Cabbage,NA
06-01-09,SHIMLA,Cabbage,NA
06-01-09,SRINAGAR,Cabbage,NA
06-01-09,JAMMU,Cabbage,NA
06-01-09,AMRITSAR,Cabbage,NA
06-01-09,LUDHIANA,Cabbage,NA
06-01-09,LUCKNOW,Cabbage,NA
06-01-09,DEHRADUN,Cabbage,NA
06-01-09,RAIPUR,Cabbage,NA
06-01-09,AHMEDABAD,Cabbage,NA
