Date,zone,centre,Gram Dal_Price
17-02-93,3,AGARTALA,NA
17-02-93,4,HYDERABAD,1280
17-02-93,4,VIJAYAWADA,1250
17-02-93,4,BANGALORE,NA
17-02-93,4,THIRUVANANTHAPURAM,1450
17-02-93,4,ERNAKULAM,1340
17-02-93,4,CHENNAI,1329
17-02-93,4,MADURAI,1240
17-02-93,4,PONDICHERRY,NA
24-02-93,1,HISAR,NA
24-02-93,1,KARNAL,1100
24-02-93,1,SHIMLA,1199
24-02-93,1,MANDI,1195
24-02-93,1,SRINAGAR,NA
24-02-93,1,JAMMU,1200
24-02-93,1,AMRITSAR,1075
24-02-93,1,LUDHIANA,1105
24-02-93,1,LUCKNOW,NA
24-02-93,1,KANPUR,NA
24-02-93,1,CHANDIGARH,NA
24-02-93,1,DELHI,1050
24-02-93,2,AHMEDABAD,1270
24-02-93,2,RAJKOT,1050
24-02-93,2,PANAJI,1280
24-02-93,2,BHOPAL,NA
24-02-93,2,INDORE,NA
24-02-93,2,MUMBAI,1250
24-02-93,2,NAGPUR,1050
24-02-93,2,JAIPUR,NA
24-02-93,2,JODHPUR,NA
24-02-93,3,GUWAHATI,1200
24-02-93,3,PATNA,NA
24-02-93,3,SHILLONG,NA
24-02-93,3,AIZAWL,NA
24-02-93,3,BHUBANESHWAR,1300
24-02-93,3,CUTTACK,1196
24-02-93,3,KOLKATA,1120
24-02-93,3,AGARTALA,NA
24-02-93,4,HYDERABAD,1200
24-02-93,4,VIJAYAWADA,1250
24-02-93,4,BANGALORE,1400
24-02-93,4,THIRUVANANTHAPURAM,1450
24-02-93,4,ERNAKULAM,1350
24-02-93,4,CHENNAI,1329
24-02-93,4,MADURAI,1260
24-02-93,4,PONDICHERRY,NA
03-03-93,1,HISAR,1000
03-03-93,1,KARNAL,1050
03-03-93,1,SHIMLA,1199
03-03-93,1,MANDI,1195
03-03-93,1,SRINAGAR,NA
03-03-93,1,JAMMU,1180
03-03-93,1,AMRITSAR,1075
03-03-93,1,LUDHIANA,1200
03-03-93,1,LUCKNOW,NA
03-03-93,1,KANPUR,NA
03-03-93,1,CHANDIGARH,1000
03-03-93,1,DELHI,1050
03-03-93,2,AHMEDABAD,1180
03-03-93,2,RAJKOT,1000
03-03-93,2,PANAJI,1250
03-03-93,2,BHOPAL,NA
03-03-93,2,INDORE,NA
03-03-93,2,MUMBAI,1275
03-03-93,2,NAGPUR,1138
03-03-93,2,JAIPUR,1030
03-03-93,2,JODHPUR,1060
03-03-93,3,GUWAHATI,1200
03-03-93,3,PATNA,NA
03-03-93,3,SHILLONG,NA
03-03-93,3,AIZAWL,NA
03-03-93,3,BHUBANESHWAR,1240
03-03-93,3,CUTTACK,1196
03-03-93,3,KOLKATA,1120
03-03-93,3,AGARTALA,NA
03-03-93,4,HYDERABAD,1190
03-03-93,4,VIJAYAWADA,NA
03-03-93,4,BANGALORE,1260
03-03-93,4,THIRUVANANTHAPURAM,1450
03-03-93,4,ERNAKULAM,1350
03-03-93,4,CHENNAI,1329
03-03-93,4,MADURAI,1240
03-03-93,4,PONDICHERRY,1400
10-03-93,1,HISAR,1000
10-03-93,1,KARNAL,1050
10-03-93,1,SHIMLA,1209
10-03-93,1,MANDI,1240
10-03-93,1,SRINAGAR,NA
10-03-93,1,JAMMU,1150
10-03-93,1,AMRITSAR,NA
10-03-93,1,LUDHIANA,NA
10-03-93,1,LUCKNOW,1050
10-03-93,1,KANPUR,1100
10-03-93,1,CHANDIGARH,NA
10-03-93,1,DELHI,1040
10-03-93,2,AHMEDABAD,1200
10-03-93,2,RAJKOT,1000
10-03-93,2,PANAJI,1200
10-03-93,2,BHOPAL,1010
10-03-93,2,INDORE,980
10-03-93,2,MUMBAI,1275
10-03-93,2,NAGPUR,1425
10-03-93,2,JAIPUR,1030
10-03-93,2,JODHPUR,1060
10-03-93,3,GUWAHATI,1140
10-03-93,3,PATNA,NA
10-03-93,3,SHILLONG,1170
10-03-93,3,AIZAWL,1050
10-03-93,3,BHUBANESHWAR,1200
10-03-93,3,CUTTACK,1237
10-03-93,3,KOLKATA,1170
10-03-93,3,AGARTALA,NA
10-03-93,4,HYDERABAD,1120
10-03-93,4,VIJAYAWADA,1160
10-03-93,4,BANGALORE,NA
10-03-93,4,THIRUVANANTHAPURAM,NA
10-03-93,4,ERNAKULAM,NA
10-03-93,4,CHENNAI,1258
10-03-93,4,MADURAI,1200
10-03-93,4,PONDICHERRY,1000
17-03-93,1,HISAR,NA
17-03-93,1,KARNAL,NA
17-03-93,1,SHIMLA,1209
17-03-93,1,MANDI,1240
17-03-93,1,SRINAGAR,NA
17-03-93,1,JAMMU,1120
17-03-93,1,AMRITSAR,NA
17-03-93,1,LUDHIANA,NA
17-03-93,1,LUCKNOW,1050
17-03-93,1,KANPUR,1000
17-03-93,1,CHANDIGARH,1000
17-03-93,1,DELHI,1000
17-03-93,2,AHMEDABAD,1200
17-03-93,2,RAJKOT,1100
17-03-93,2,PANAJI,1160
17-03-93,2,BHOPAL,980
17-03-93,2,INDORE,980
17-03-93,2,MUMBAI,1250
17-03-93,2,NAGPUR,1138
17-03-93,2,JAIPUR,1020
17-03-93,2,JODHPUR,1040
17-03-93,3,GUWAHATI,1110
17-03-93,3,PATNA,NA
17-03-93,3,SHILLONG,NA
17-03-93,3,AIZAWL,1050
17-03-93,3,BHUBANESHWAR,1200
17-03-93,3,CUTTACK,1237
17-03-93,3,KOLKATA,1140
17-03-93,3,AGARTALA,1300
17-03-93,4,HYDERABAD,1145
17-03-93,4,VIJAYAWADA,1170
17-03-93,4,BANGALORE,1145
17-03-93,4,THIRUVANANTHAPURAM,NA
17-03-93,4,ERNAKULAM,NA
17-03-93,4,CHENNAI,1192
17-03-93,4,MADURAI,1200
17-03-93,4,PONDICHERRY,NA
24-03-93,1,HISAR,980
24-03-93,1,KARNAL,970
24-03-93,1,SHIMLA,1209
24-03-93,1,MANDI,1240
24-03-93,1,SRINAGAR,NA
24-03-93,1,JAMMU,NA
24-03-93,1,AMRITSAR,NA
24-03-93,1,LUDHIANA,NA
24-03-93,1,LUCKNOW,1050
24-03-93,1,KANPUR,850
24-03-93,1,CHANDIGARH,900
24-03-93,1,DELHI,850
24-03-93,2,AHMEDABAD,NA
24-03-93,2,RAJKOT,NA
24-03-93,2,PANAJI,NA
24-03-93,2,BHOPAL,850
24-03-93,2,INDORE,825
24-03-93,2,MUMBAI,1250
24-03-93,2,NAGPUR,1000
24-03-93,2,JAIPUR,895
24-03-93,2,JODHPUR,925
24-03-93,3,GUWAHATI,970
24-03-93,3,PATNA,NA
24-03-93,3,SHILLONG,NA
24-03-93,3,AIZAWL,NA
24-03-93,3,BHUBANESHWAR,1115
24-03-93,3,CUTTACK,988
24-03-93,3,KOLKATA,980
24-03-93,3,AGARTALA,NA
24-03-93,4,HYDERABAD,1080
24-03-93,4,VIJAYAWADA,1170
24-03-93,4,BANGALORE,1145
24-03-93,4,THIRUVANANTHAPURAM,NA
24-03-93,4,ERNAKULAM,NA
24-03-93,4,CHENNAI,1206
24-03-93,4,MADURAI,1200
24-03-93,4,PONDICHERRY,1300
31-03-93,1,HISAR,910
31-03-93,1,KARNAL,930
31-03-93,1,SHIMLA,1209
31-03-93,1,MANDI,1240
31-03-93,1,SRINAGAR,NA
31-03-93,1,JAMMU,NA
31-03-93,1,AMRITSAR,NA
31-03-93,1,LUDHIANA,NA
31-03-93,1,LUCKNOW,1050
31-03-93,1,KANPUR,850
31-03-93,1,CHANDIGARH,900
31-03-93,1,DELHI,840
31-03-93,2,AHMEDABAD,1100
31-03-93,2,RAJKOT,950
31-03-93,2,PANAJI,1100
31-03-93,2,BHOPAL,850
31-03-93,2,INDORE,980
31-03-93,2,MUMBAI,1125
31-03-93,2,NAGPUR,950
31-03-93,2,JAIPUR,925
31-03-93,2,JODHPUR,950
31-03-93,3,GUWAHATI,920
31-03-93,3,PATNA,NA
31-03-93,3,SHILLONG,1150
31-03-93,3,AIZAWL,1050
31-03-93,3,BHUBANESHWAR,990
31-03-93,3,CUTTACK,973
31-03-93,3,KOLKATA,875
31-03-93,3,AGARTALA,NA
31-03-93,4,HYDERABAD,920
31-03-93,4,VIJAYAWADA,1070
31-03-93,4,BANGALORE,1160
31-03-93,4,THIRUVANANTHAPURAM,1450
31-03-93,4,ERNAKULAM,1450
31-03-93,4,CHENNAI,1122
31-03-93,4,MADURAI,1040
31-03-93,4,PONDICHERRY,NA
07-04-93,1,HISAR,900
07-04-93,1,KARNAL,975
07-04-93,1,SHIMLA,1028
07-04-93,1,MANDI,1240
07-04-93,1,SRINAGAR,NA
07-04-93,1,JAMMU,950
07-04-93,1,AMRITSAR,NA
07-04-93,1,LUDHIANA,NA
07-04-93,1,LUCKNOW,1050
07-04-93,1,KANPUR,860
07-04-93,1,CHANDIGARH,900
07-04-93,1,DELHI,850
07-04-93,2,AHMEDABAD,1100
07-04-93,2,RAJKOT,950
07-04-93,2,PANAJI,1100
07-04-93,2,BHOPAL,840
07-04-93,2,INDORE,980
07-04-93,2,MUMBAI,1125
07-04-93,2,NAGPUR,933
07-04-93,2,JAIPUR,890
07-04-93,2,JODHPUR,925
07-04-93,3,GUWAHATI,950
07-04-93,3,PATNA,NA
07-04-93,3,SHILLONG,NA
07-04-93,3,AIZAWL,1050
07-04-93,3,BHUBANESHWAR,980
07-04-93,3,CUTTACK,982
07-04-93,3,KOLKATA,900
07-04-93,3,AGARTALA,NA
07-04-93,4,HYDERABAD,950
07-04-93,4,VIJAYAWADA,1050
07-04-93,4,BANGALORE,950
07-04-93,4,THIRUVANANTHAPURAM,1450
07-04-93,4,ERNAKULAM,1450
07-04-93,4,CHENNAI,1073
07-04-93,4,MADURAI,1040
07-04-93,4,PONDICHERRY,NA
14-04-93,1,HISAR,890
14-04-93,1,KARNAL,975
14-04-93,1,SHIMLA,1028
14-04-93,1,MANDI,1240
14-04-93,1,SRINAGAR,NA
14-04-93,1,JAMMU,1030
14-04-93,1,AMRITSAR,NA
14-04-93,1,LUDHIANA,NA
14-04-93,1,LUCKNOW,1050
14-04-93,1,KANPUR,869
14-04-93,1,CHANDIGARH,900
14-04-93,1,DELHI,850
14-04-93,2,AHMEDABAD,1100
14-04-93,2,RAJKOT,950
14-04-93,2,PANAJI,NA
14-04-93,2,BHOPAL,910
14-04-93,2,INDORE,938
14-04-93,2,MUMBAI,1125
14-04-93,2,NAGPUR,1000
14-04-93,2,JAIPUR,850
14-04-93,2,JODHPUR,900
14-04-93,3,GUWAHATI,NA
14-04-93,3,PATNA,NA
14-04-93,3,SHILLONG,1150
14-04-93,3,AIZAWL,1050
14-04-93,3,BHUBANESHWAR,1020
14-04-93,3,CUTTACK,1003
14-04-93,3,KOLKATA,NA
14-04-93,3,AGARTALA,NA
14-04-93,4,HYDERABAD,860
14-04-93,4,VIJAYAWADA,1030
14-04-93,4,BANGALORE,1030
14-04-93,4,THIRUVANANTHAPURAM,1450
14-04-93,4,ERNAKULAM,1450
14-04-93,4,CHENNAI,1013
14-04-93,4,MADURAI,1040
14-04-93,4,PONDICHERRY,NA
21-04-93,1,HISAR,960
21-04-93,1,KARNAL,975
21-04-93,1,SHIMLA,1028
21-04-93,1,MANDI,1240
21-04-93,1,SRINAGAR,NA
21-04-93,1,JAMMU,1000
21-04-93,1,AMRITSAR,925
21-04-93,1,LUDHIANA,950
21-04-93,1,LUCKNOW,1025
21-04-93,1,KANPUR,875
21-04-93,1,CHANDIGARH,950
21-04-93,1,DELHI,860
21-04-93,2,AHMEDABAD,1000
21-04-93,2,RAJKOT,950
21-04-93,2,PANAJI,NA
21-04-93,2,BHOPAL,910
21-04-93,2,INDORE,938
21-04-93,2,MUMBAI,1125
21-04-93,2,NAGPUR,950
21-04-93,2,JAIPUR,840
21-04-93,2,JODHPUR,860
21-04-93,3,GUWAHATI,NA
21-04-93,3,PATNA,910
21-04-93,3,SHILLONG,NA
21-04-93,3,AIZAWL,NA
21-04-93,3,BHUBANESHWAR,1020
21-04-93,3,CUTTACK,1009
21-04-93,3,KOLKATA,965
21-04-93,3,AGARTALA,NA
21-04-93,4,HYDERABAD,980
21-04-93,4,VIJAYAWADA,1125
21-04-93,4,BANGALORE,1030
21-04-93,4,THIRUVANANTHAPURAM,NA
21-04-93,4,ERNAKULAM,NA
21-04-93,4,CHENNAI,1043
21-04-93,4,MADURAI,1040
21-04-93,4,PONDICHERRY,1200
28-04-93,1,HISAR,850
28-04-93,1,KARNAL,920
28-04-93,1,SHIMLA,998
28-04-93,1,MANDI,1240
28-04-93,1,SRINAGAR,NA
28-04-93,1,JAMMU,1000
28-04-93,1,AMRITSAR,960
28-04-93,1,LUDHIANA,900
28-04-93,1,LUCKNOW,975
28-04-93,1,KANPUR,875
28-04-93,1,CHANDIGARH,950
28-04-93,1,DELHI,870
28-04-93,2,AHMEDABAD,1000
28-04-93,2,RAJKOT,1000
28-04-93,2,PANAJI,1075
28-04-93,2,BHOPAL,900
28-04-93,2,INDORE,980
28-04-93,2,MUMBAI,1225
28-04-93,2,NAGPUR,1000
28-04-93,2,JAIPUR,840
28-04-93,2,JODHPUR,900
28-04-93,3,GUWAHATI,950
28-04-93,3,PATNA,NA
28-04-93,3,SHILLONG,1150
28-04-93,3,AIZAWL,NA
28-04-93,3,BHUBANESHWAR,1020
28-04-93,3,CUTTACK,1000
28-04-93,3,KOLKATA,950
28-04-93,3,AGARTALA,NA
28-04-93,4,HYDERABAD,980
28-04-93,4,VIJAYAWADA,1125
28-04-93,4,BANGALORE,NA
28-04-93,4,THIRUVANANTHAPURAM,1450
28-04-93,4,ERNAKULAM,1450
28-04-93,4,CHENNAI,1053
28-04-93,4,MADURAI,1040
28-04-93,4,PONDICHERRY,1200
05-05-93,1,HISAR,NA
05-05-93,1,KARNAL,NA
05-05-93,1,SHIMLA,998
05-05-93,1,MANDI,1240
05-05-93,1,SRINAGAR,NA
05-05-93,1,JAMMU,NA
05-05-93,1,AMRITSAR,NA
05-05-93,1,LUDHIANA,NA
05-05-93,1,LUCKNOW,975
05-05-93,1,KANPUR,920
05-05-93,1,CHANDIGARH,NA
05-05-93,1,DELHI,880
05-05-93,2,AHMEDABAD,1050
05-05-93,2,RAJKOT,1000
05-05-93,2,PANAJI,1075
05-05-93,2,BHOPAL,970
05-05-93,2,INDORE,NA
05-05-93,2,MUMBAI,975
05-05-93,2,NAGPUR,1050
05-05-93,2,JAIPUR,840
05-05-93,2,JODHPUR,880
05-05-93,3,GUWAHATI,970
05-05-93,3,PATNA,980
05-05-93,3,SHILLONG,1150
05-05-93,3,AIZAWL,NA
05-05-93,3,BHUBANESHWAR,1060
05-05-93,3,CUTTACK,1050
05-05-93,3,KOLKATA,950
05-05-93,3,AGARTALA,NA
05-05-93,4,HYDERABAD,1025
05-05-93,4,VIJAYAWADA,1125
05-05-93,4,BANGALORE,1000
05-05-93,4,THIRUVANANTHAPURAM,1450
05-05-93,4,ERNAKULAM,1450
05-05-93,4,CHENNAI,1044
05-05-93,4,MADURAI,1070
05-05-93,4,PONDICHERRY,1200
12-05-93,1,HISAR,850
12-05-93,1,KARNAL,920
12-05-93,1,SHIMLA,1097
12-05-93,1,MANDI,NA
12-05-93,1,SRINAGAR,NA
12-05-93,1,JAMMU,NA
12-05-93,1,AMRITSAR,920
12-05-93,1,LUDHIANA,960
12-05-93,1,LUCKNOW,950
12-05-93,1,KANPUR,950
12-05-93,1,CHANDIGARH,950
12-05-93,1,DELHI,860
12-05-93,2,AHMEDABAD,1080
12-05-93,2,RAJKOT,1000
12-05-93,2,PANAJI,1075
12-05-93,2,BHOPAL,950
12-05-93,2,INDORE,1020
12-05-93,2,MUMBAI,975
12-05-93,2,NAGPUR,1075
12-05-93,2,JAIPUR,910
12-05-93,2,JODHPUR,880
12-05-93,3,GUWAHATI,1300
12-05-93,3,PATNA,800
12-05-93,3,SHILLONG,1150
12-05-93,3,AIZAWL,NA
12-05-93,3,BHUBANESHWAR,1090
12-05-93,3,CUTTACK,1082
12-05-93,3,KOLKATA,960
12-05-93,3,AGARTALA,NA
12-05-93,4,HYDERABAD,1080
12-05-93,4,VIJAYAWADA,1200
12-05-93,4,BANGALORE,NA
12-05-93,4,THIRUVANANTHAPURAM,1450
12-05-93,4,ERNAKULAM,1450
12-05-93,4,CHENNAI,1034
12-05-93,4,MADURAI,1100
