Date,Centre_Name,Commodity_Name,Price
05-01-09,LUDHIANA,Gram Dal,3000
05-01-09,LUCKNOW,Gram Dal,NA
05-01-09,DEHRADUN,Gram Dal,NA
05-01-09,RAIPUR,Gram Dal,NA
05-01-09,AHMEDABAD,Gram Dal,NA
05-01-09,BHOPAL,Gram Dal,NA
05-01-09,MUMBAI,Gram Dal,NA
05-01-09,JAIPUR,Gram Dal,NA
05-01-09,PATNA,Gram Dal,NA
05-01-09,RANCHI,Gram Dal,NA
05-01-09,BHUBANESHWAR,Gram Dal,3000
05-01-09,KOLKATA,Gram Dal,NA
05-01-09,GUWAHATI,Gram Dal,NA
05-01-09,SHILLONG,Gram Dal,NA
05-01-09,AIZWAL,Gram Dal,NA
05-01-09,KOHIMA,Gram Dal,NA
05-01-09,AGARTALA,Gram Dal,NA
05-01-09,BENGALURU,Gram Dal,NA
05-01-09,T.PURAM,Gram Dal,NA
05-01-09,CHENNAI,Gram Dal,2600
05-01-09,HYDERABAD,Gram Dal,NA
06-01-09,CHANDIGARH,Gram Dal,NA
06-01-09,DELHI,Gram Dal,2975
06-01-09,SHIMLA,Gram Dal,NA
06-01-09,SRINAGAR,Gram Dal,NA
06-01-09,JAMMU,Gram Dal,NA
06-01-09,AMRITSAR,Gram Dal,2500
06-01-09,LUDHIANA,Gram Dal,3000
06-01-09,LUCKNOW,Gram Dal,NA
06-01-09,DEHRADUN,Gram Dal,NA
06-01-09,RAIPUR,Gram Dal,NA
06-01-09,AHMEDABAD,Gram Dal,NA
06-01-09,BHOPAL,Gram Dal,NA
06-01-09,MUMBAI,Gram Dal,NA
06-01-09,JAIPUR,Gram Dal,NA
06-01-09,PATNA,Gram Dal,NA
06-01-09,RANCHI,Gram Dal,NA
06-01-09,BHUBANESHWAR,Gram Dal,3000
06-01-09,KOLKATA,Gram Dal,NA
06-01-09,GUWAHATI,Gram Dal,NA
06-01-09,SHILLONG,Gram Dal,NA
06-01-09,AIZWAL,Gram Dal,NA
06-01-09,KOHIMA,Gram Dal,NA
06-01-09,AGARTALA,Gram Dal,NA
06-01-09,BENGALURU,Gram Dal,2600
06-01-09,T.PURAM,Gram Dal,NA
06-01-09,CHENNAI,Gram Dal,2600
06-01-09,HYDERABAD,Gram Dal,NA
07-01-09,CHANDIGARH,Gram Dal,NA
07-01-09,DELHI,Gram Dal,2975
07-01-09,SHIMLA,Gram Dal,NA
07-01-09,SRINAGAR,Gram Dal,NA
07-01-09,JAMMU,Gram Dal,NA
07-01-09,AMRITSAR,Gram Dal,2500
07-01-09,LUDHIANA,Gram Dal,3000
07-01-09,LUCKNOW,Gram Dal,NA
07-01-09,DEHRADUN,Gram Dal,NA
07-01-09,RAIPUR,Gram Dal,NA
07-01-09,AHMEDABAD,Gram Dal,NA
07-01-09,BHOPAL,Gram Dal,NA
07-01-09,MUMBAI,Gram Dal,NA
07-01-09,JAIPUR,Gram Dal,NA
07-01-09,PATNA,Gram Dal,NA
07-01-09,RANCHI,Gram Dal,NA
07-01-09,BHUBANESHWAR,Gram Dal,3000
07-01-09,KOLKATA,Gram Dal,NA
07-01-09,GUWAHATI,Gram Dal,NA
07-01-09,SHILLONG,Gram Dal,NA
07-01-09,AIZWAL,Gram Dal,NA
07-01-09,KOHIMA,Gram Dal,NA
07-01-09,AGARTALA,Gram Dal,NA
07-01-09,BENGALURU,Gram Dal,NA
07-01-09,T.PURAM,Gram Dal,NA
07-01-09,CHENNAI,Gram Dal,2600
07-01-09,HYDERABAD,Gram Dal,NA
09-01-09,CHANDIGARH,Gram Dal,NA
09-01-09,DELHI,Gram Dal,2975
09-01-09,SHIMLA,Gram Dal,NA
09-01-09,SRINAGAR,Gram Dal,NA
09-01-09,JAMMU,Gram Dal,NA
09-01-09,AMRITSAR,Gram Dal,NA
09-01-09,LUDHIANA,Gram Dal,NA
09-01-09,LUCKNOW,Gram Dal,NA
09-01-09,DEHRADUN,Gram Dal,NA
09-01-09,RAIPUR,Gram Dal,NA
09-01-09,AHMEDABAD,Gram Dal,NA
09-01-09,BHOPAL,Gram Dal,NA
09-01-09,MUMBAI,Gram Dal,NA
09-01-09,JAIPUR,Gram Dal,NA
09-01-09,PATNA,Gram Dal,NA
09-01-09,RANCHI,Gram Dal,NA
09-01-09,BHUBANESHWAR,Gram Dal,3000
09-01-09,KOLKATA,Gram Dal,NA
09-01-09,GUWAHATI,Gram Dal,NA
09-01-09,SHILLONG,Gram Dal,NA
09-01-09,AIZWAL,Gram Dal,NA
09-01-09,KOHIMA,Gram Dal,NA
09-01-09,AGARTALA,Gram Dal,NA
09-01-09,BENGALURU,Gram Dal,2700
09-01-09,T.PURAM,Gram Dal,NA
09-01-09,CHENNAI,Gram Dal,2600
