,nhits,y
0,1375.8184870843384,1700.0
1,1379.8618498850044,1374.1515151515152
2,1362.0833137236414,1353.735294117647
3,1388.1080137512326,1333.2692307692307
4,1368.8549158710273,1377.9642857142858
5,1350.5974378317035,1399.9714285714285
6,1352.1746949558728,1369.5454545454545
7,1374.2075014365969,1338.483870967742
8,1366.2284962343074,1366.9375
9,1349.378559160521,1313.4117647058824
10,1393.9269654791867,1389.6
11,1416.6261471479118,1402.8125
12,1447.8864564746823,1388.642857142857
13,1455.848338728595,1402.3125
14,1438.9176041650483,1410.9333333333334
15,1418.2736652653741,1390.1351351351352
16,1422.3111820191643,1432.8484848484848
17,1430.8951452082847,1493.3142857142857
18,1463.0609987367166,1404.7878787878788
19,1436.968857182122,1421.7619047619048
20,1450.719921640596,1317.0588235294117
21,1385.549213899934,1395.1176470588234
22,1382.6858879139756,1449.857142857143
23,1405.1611390871776,1558.6470588235295
24,1431.8819781805248,1416.6666666666667
25,1451.5278115830747,1474.0357142857142
26,1426.9325668670767,1532.2424242424242
27,1459.079354165744,1513.625
28,1433.6424206635354,1644.1153846153845
29,1401.976485920228,1550.2424242424242
30,1401.982477532752,1453.0
31,1409.3126743241473,1514.054054054054
32,1436.4534883039305,1484.8529411764705
33,1419.758673334251,1428.7666666666667
34,1446.3223016049963,1496.1875
35,1391.2141467680826,1520.6
36,1363.1159092872724,1467.972972972973
37,1409.0535552421352,1497.9722222222222
38,1393.6296987534154,1353.4571428571428
39,1432.5735741261317,1329.8918918918919
40,1432.3816150224334,1428.1935483870968
41,1438.1110968862888,1379.7333333333333
42,1419.5477633741175,1298.6666666666667
43,1401.2636093159156,1358.0882352941176
44,1425.8352262021594,1316.3947368421052
45,1425.5514248295212,1339.59375
46,1434.9921060572954,1362.21875
47,1410.6957719236987,1245.264705882353
48,1472.1546095410217,1307.9655172413793
49,1397.3372329096342,1389.32
50,1413.2021498986833,1316.5454545454545
51,1403.2279723602683,1262.764705882353
52,1404.7868519658875,1274.5277777777778
53,1458.3424382825508,1277.3529411764705
54,1462.5950319883716,1236.5151515151515
55,1474.0328579604504,1329.5806451612902
56,1451.540312053803,1254.7407407407406
57,1406.457373482042,1213.0588235294117
58,1397.3038511891182,1269.060606060606
59,1434.4238077402395,1300.0
60,1408.222016146298,1297.888888888889
61,1408.5923450325388,1291.21875
62,1395.0599389641434,1184.7878787878788
63,1396.9032867119415,1255.96875
64,1385.517339764034,1268.90625
65,1380.1488680417024,1224.7435897435898
66,1373.6840480956496,1154.735294117647
67,1390.7361639817034,1219.6285714285714
68,1403.6764053009604,1231.4285714285713
69,1406.5936280666072,1167.7297297297298
70,1392.9500940245996,1160.3703703703704
71,1364.1144493772172,1102.5675675675675
72,1376.1426831269218,1148.0
73,1371.4218862638286,1196.3142857142857
74,1383.0887246699924,1210.46875
75,1382.0515802135815,1206.4705882352941
76,1378.9980923697042,1197.6571428571428
77,1370.8073445109735,1272.5357142857142
78,1360.503299197933,1144.051282051282
79,1352.9814871604733,1168.2432432432433
80,1375.827521682745,1127.735294117647
81,1370.4754098933518,1162.4193548387098
82,1370.6934239372847,1085.1470588235295
83,1369.1712579997481,1107.4242424242425
84,1368.2217585663655,1087.4137931034484
85,1373.033896207598,1122.3823529411766
86,1366.6206312525735,1116.6666666666667
87,1346.2364080245293,1141.057142857143
88,1339.3918639723674,1120.15625
89,1346.4265573634325,1069.84375
90,1344.9418298664627,1079.0333333333333
91,1335.7916134449074,1104.142857142857
92,1339.512442640887,1095.235294117647
93,1325.9772140879659,1093.6857142857143
94,1349.2919513784295,1067.3783783783783
95,1340.2701014257416,1115.392857142857
96,1329.7563629613528,1146.3235294117646
97,1344.6084305969941,1110.8157894736842
98,1348.1610521568352,1095.8333333333333
99,1337.259851287611,1035.2972972972973
100,1350.0296636933233,1028.0857142857142
101,1341.0443769543676,987.4285714285714
102,1354.0446207529149,1085.5806451612902
103,1333.7770411021959,1030.90625
104,1342.1066536767573,1032.2592592592594
105,1345.59416056312,1045.3157894736842
106,1320.926750830422,986.6551724137931
107,1333.582683213001,1084.0689655172414
108,1363.0724413718262,1062.34375
109,1319.6755894491707,1007.1612903225806
110,1322.5001623930002,1023.2592592592592
111,1322.4818908853363,1019.8214285714286
112,1311.6782663083698,937.7692307692307
113,1324.6006969855523,992.0333333333333
114,1325.4478874210938,1011.5
115,1330.3323658954753,938.1612903225806
116,1332.1925521771732,934.0
117,1303.8068555812943,941.4375
118,1327.3811413497804,929.2
119,1331.889396642014,956.25
120,1303.1859062790747,913.1388888888889
121,1332.5437075994312,921.6571428571428
122,1305.7545109735186,957.2903225806451
123,1304.942601729996,947.2424242424242
124,1322.4422192216691,876.6333333333333
125,1324.0747519793063,948.1538461538462
126,1315.5075061625057,927.9166666666666
127,1319.940508879692,941.4137931034483
128,1317.4314250757727,904.9166666666666
129,1319.4175725309738,914.8055555555555
130,1336.4898218081137,922.5277777777778
131,1331.1980158759973,926.7222222222222
132,1340.8920600040024,928.4285714285714
133,1347.075082194323,876.0357142857143
134,1343.522067586286,907.5
135,1358.2515495750938,872.9444444444445
136,1337.8388740746348,891.1714285714286
137,1343.157436672184,895.7428571428571
138,1382.6958745388774,893.3636363636364
139,1358.420577933181,903.6129032258065
140,1377.60392012254,952.1666666666666
141,1380.1692518232405,894.90625
142,1371.1656125317427,893.5428571428571
143,1406.3226752884775,907.4333333333333
144,1404.506038099248,871.2121212121212
145,1403.1456814420076,906.8064516129032
146,1428.9371798087843,915.0645161290323
147,1407.9600963795513,842.2962962962963
148,1417.4810052888017,877.7368421052631
149,1421.9121328415515,841.4444444444445
150,1413.7930363528394,863.03125
151,1428.348674224262,851.030303030303
152,1415.5496477145864,828.5294117647059
153,1420.243841225641,823.0
154,1430.841137242301,842.4285714285714
155,1451.7777337675998,855.7666666666667
156,1446.739541357945,912.5
157,1483.5360827727504,754.5714285714286
158,1482.723692961881,802.71875
159,1480.5829387547833,819.969696969697
160,1512.9010640029455,843.8709677419355
161,1506.0062224915746,815.1428571428571
162,1515.9211985673803,883.8125
163,1520.030257606776,873.0882352941177
164,1520.74502912287,874.1515151515151
165,1527.5971783692332,868.6875
166,1505.0061491480512,908.7931034482758
167,1519.3267575045008,881.2758620689655
168,1555.871651032507,898.68
169,1538.0674329061728,855.6451612903226
170,1572.2040243272259,880.2758620689655
171,1582.7775806328916,877.68
172,1565.0173550938785,925.7916666666666
173,1587.148357625999,906.2142857142857
174,1592.8039944886068,856.1612903225806
175,1596.060417746456,920.551724137931
176,1633.8345314274266,885.1333333333333
177,1621.0251602277272,859.1142857142858
178,1641.024557324988,905.3793103448276
179,1650.5820583905047,933.6086956521739
180,1622.314189357386,869.0
181,1621.224876007278,954.1904761904761
182,1634.6452485562945,914.2727272727273
183,1612.7967258208034,909.4827586206897
184,1616.5126701474185,855.969696969697
185,1614.323005388822,908.1612903225806
186,1618.1466216447063,882.695652173913
187,1629.066561339503,911.8461538461538
188,1626.7825766526187,997.0
189,1627.0692934406534,882.9166666666666
190,1637.410036221298,880.2121212121212
191,1632.4968956322632,910.8484848484849
192,1618.4904124253005,988.3870967741935
193,1601.3170213640933,941.3333333333334
194,1600.408017075705,913.0344827586207
195,1592.4098396988463,972.5714285714286
196,1578.1952048111982,841.625
197,1581.4146674875476,901.3214285714286
198,1578.5078443561833,909.7931034482758
199,1564.895844602444,941.2142857142857
200,1556.592518849228,941.4285714285714
201,1544.4701652094602,997.7586206896551
202,1540.0604975875165,1016.9047619047619
203,1542.953267661187,931.3333333333334
204,1550.443372081933,955.4074074074074
205,1555.4724911688381,909.2258064516129
206,1569.9612606150447,962.1739130434783
207,1565.1612284772336,990.4347826086956
208,1564.7200996631661,929.4074074074074
209,1564.8948022334775,962.2083333333334
210,1535.8237796128171,940.4736842105264
211,1536.3426970337334,942.8571428571429
212,1537.405652820719,989.8965517241379
213,1533.2755357121578,928.0
214,1536.3949872990265,1005.5238095238095
215,1531.223052084304,962.4583333333334
216,1512.994226540735,977.2692307692307
217,1526.320705565508,907.6086956521739
218,1554.2524194702244,963.8387096774194
219,1535.831776986386,952.8787878787879
220,1563.8131410863705,990.6571428571428
221,1547.7997261221706,970.3703703703703
222,1567.8408477574442,1064.2592592592594
223,1527.1598381490837,1076.7083333333333
224,1522.041536358858,1065.0
225,1546.6643699744927,974.0689655172414
226,1544.3605684617837,1009.6470588235294
227,1586.049587580576,1004.2424242424242
228,1576.3379164256332,979.7096774193549
229,1561.2667075815923,1019.1666666666666
230,1521.2332790172898,1012.5172413793103
231,1498.185215628983,1026.0740740740741
232,1473.6496432598856,1009.7
233,1500.2992468369885,1025.59375
234,1516.1206898675844,991.6896551724138
235,1489.3298742470788,982.6666666666666
236,1500.3297683378096,1012.1379310344828
237,1472.9529393428652,1015.0
238,1464.7803898347324,1048.0
239,1452.1459752438907,1054.3333333333333
240,1433.6852241502436,1102.8076923076924
241,1460.5902413687718,1018.4615384615385
242,1440.0151617789152,1075.2380952380952
243,1419.9106776677393,999.8518518518518
244,1432.5578845978887,1039.142857142857
245,1438.2286117396739,973.0952380952381
246,1426.46355693263,998.1379310344828
247,1452.3818081028485,986.1724137931035
248,1449.7613107952718,1044.0
249,1449.2712839551962,1038.5384615384614
250,1442.1073901619868,1070.576923076923
251,1459.8233355692907,1065.551724137931
252,1472.1459761123142,1026.4
253,1455.7811012382772,1014.8275862068965
254,1467.8913743065705,977.0967741935484
255,1463.0774809458255,1056.25
256,1439.4543074093135,1060.8
257,1446.298865192656,1052.3333333333333
258,1455.6626855408717,1081.3103448275863
259,1437.6332931156162,1099.5
260,1445.0804906628691,1035.3333333333333
261,1454.6830879135844,1065.84375
262,1447.2473479431526,1058.0
263,1468.6419566802538,1027.3793103448277
264,1470.4291351493862,1065.6774193548388
265,1462.7736525455734,1096.59375
266,1457.9836893856695,1054.107142857143
267,1442.8195279522342,1090.75
268,1462.916097408128,1078.6333333333334
269,1480.5642381641221,1070.7307692307693
270,1443.913456529372,1189.1666666666667
271,1442.4131012338016,1093.9285714285713
272,1441.6115171460183,1143.1538461538462
273,1448.9849476632842,1146.423076923077
274,1461.4937961312405,1147.03125
275,1450.793625722123,1090.107142857143
276,1458.0340781256393,1058.2413793103449
277,1464.5001906151938,1080.3333333333333
278,1444.5301524955212,1100.3125
279,1470.1437703080187,1105.76
280,1482.822158073835,1146.44
281,1483.7813032223,1044.7666666666667
282,1513.2263830673849,1145.59375
283,1520.725018553124,1079.3548387096773
284,1520.5747369775436,1150.655172413793
285,1516.4818083880841,1163.3333333333333
286,1516.064381711598,1198.71875
287,1521.7771055295,1135.96
288,1575.3151227294302,1167.6857142857143
289,1536.2979116694655,1113.1142857142856
290,1561.0102125748906,1166.6666666666667
291,1565.9740363551407,1158.3333333333333
292,1559.6254117535036,1092.258064516129
293,1573.8479120431539,1152.5806451612902
294,1596.7574825796376,1153.40625
295,1606.7408810911086,1155.6363636363637
296,1627.5575210266957,1151.1842105263158
297,1601.3382564045194,1172.4848484848485
298,1619.1394755238166,1131.3823529411766
299,1627.0324600015688,1131.0
300,1576.5205462872068,1144.6785714285713
301,1611.960899049551,1140.0
302,1617.1353732236212,1165.78125
303,1595.750737201205,1160.576923076923
304,1605.2465775220476,1188.060606060606
305,1629.9950561296648,1108.3235294117646
306,1618.8830976459171,1168.8285714285714
307,1647.7199133700424,1136.8064516129032
308,1645.0965962504533,1188.8461538461538
309,1654.9972941457725,1146.1470588235295
310,1667.627668410669,1174.53125
311,1657.435717938382,1115.4545454545455
312,1675.7331493220486,1111.25
313,1676.0958729244726,1122.9333333333334
314,1686.7730121848356,1132.1875
315,1702.5810379645548,1156.7857142857142
316,1679.128570211215,1128.0344827586207
317,1687.2268536769413,1168.125
318,1708.221913568754,1131.551724137931
319,1700.8398279303153,1124.4074074074074
320,1712.8849804431825,1136.4827586206898
321,1695.7523258025674,1158.16
322,1696.7042731884308,1207.0588235294117
323,1722.1987652380863,1220.1851851851852
324,1720.2855928677875,1133.0555555555557
325,1724.8597849081011,1077.5333333333333
326,1743.034052216827,1184.1379310344828
327,1729.987769321966,1110.625
328,1727.9488760067063,1124.1724137931035
329,1730.0450018253332,1166.7083333333333
330,1738.368586657795,1150.2692307692307
331,1721.661153030676,1093.3809523809523
332,1735.6314809270511,1182.0
333,1718.1050360625022,1188.48
334,1725.0701077404294,1115.96
335,1722.0569325738475,1090.0714285714287
336,1705.1430660592641,1147.1363636363637
337,1724.7642512694945,1167.0
338,1728.2497839370603,1096.9
339,1725.714336926808,1014.35
340,1711.9329224509286,1113.967741935484
341,1719.8136458408917,1112.6764705882354
342,1718.6257921374029,1133.6896551724137
343,1687.4006897325405,1239.1304347826087
344,1690.2860424678415,1127.9666666666667
345,1671.8539756136013,1145.344827586207
346,1663.0172547408329,1132.24
347,1670.5218149484108,1154.6363636363637
348,1657.5004329540425,1067.1153846153845
349,1654.6838913075028,1039.1764705882354
350,1651.1573620994184,966.9230769230769
351,1655.4233244647835,956.3
352,1642.5952970555677,1096.6666666666667
353,1630.132365156721,1165.0
354,1643.0849071634113,1198.7777777777778
355,1628.4382612643378,1063.258064516129
356,1648.2150715759371,1113.076923076923
357,1642.6048896675186,1110.8095238095239
358,1647.7137940369628,1181.896551724138
359,1637.1230141285575,1074.125
360,1626.1764775157126,1058.8636363636363
361,1622.6861617145757,1061.7083333333333
362,1630.3545647073797,1119.888888888889
363,1606.0775969710994,1106.5
364,1609.1483004854276,1083.0
365,1600.8012807565417,1101.76
366,1557.6484990777928,1202.2121212121212
367,1589.7720367399825,1134.0967741935483
368,1593.639950354503,1177.3235294117646
369,1579.625580090318,1093.1351351351352
370,1586.6399973589962,1128.3529411764705
371,1574.7224893709267,1152.962962962963
372,1591.3158087768254,1132.7
373,1536.1560084279395,1140.162162162162
374,1552.9979342186607,1128.3461538461538
375,1555.2177953640914,1111.375
376,1545.6816259914483,1083.1666666666667
377,1553.3297115894193,1075.3125
378,1576.3416952405207,1151.4347826086957
379,1524.5735669217092,1150.84375
380,1508.649776713716,1144.2727272727273
381,1494.7872642016798,1111.6666666666667
382,1496.3103290655956,1067.3333333333333
383,1512.6035843230118,1136.3225806451612
384,1515.9258809689504,1176.6
385,1501.757806377884,1139.4117647058824
386,1480.0215734950054,1044.4285714285713
387,1454.6289607065983,1070.0
388,1455.109657708129,1156.1538461538462
389,1457.1399380306777,1059.344827586207
390,1458.8542594653818,1115.6363636363637
391,1490.3075417814493,1160.4193548387098
392,1464.297830079271,1195.304347826087
393,1449.394377160856,1100.48
394,1457.9679019905584,1117.0
395,1473.354673819249,1133.6666666666667
396,1457.553271268122,1117.59375
397,1469.1621823411162,1079.8684210526317
398,1470.9074158246913,1063.0344827586207
399,1443.6759785692027,1060.3333333333333
400,1447.7806561927337,1175.5483870967741
401,1473.0714903979444,1065.090909090909
402,1474.4399837428796,1097.2413793103449
403,1474.4616904074671,1130.6666666666667
404,1477.5840570668215,1127.5416666666667
405,1462.4553678605268,1048.888888888889
406,1439.722402515794,945.75
407,1448.6425718956978,1166.6666666666667
408,1463.0656663789753,1096.6666666666667
409,1429.6037212396832,1043.75
410,1430.8135686600435,1100.0
411,1445.9728814863604,1231.5714285714287
412,1429.8792815713846,1043.5714285714287
413,1446.5451756966122,1092.2173913043478
414,1437.9658379433502,1081.8148148148148
415,1429.1447164634067,1044.3548387096773
416,1426.9161918079578,1027.2068965517242
417,1419.4164763651686,1008.9333333333333
418,1444.5505521197506,1030.3703703703704
419,1453.3459983841867,964.7368421052631
420,1422.1641470078694,976.6666666666666
421,1420.6498388848265,1097.576923076923
422,1424.3262417297685,1066.9411764705883
423,1435.730076703277,1083.6875
424,1438.2923026026476,1017.5357142857143
425,1447.349480840495,994.48
426,1437.5030392345586,1146.3809523809523
427,1451.5479126247958,1111.0555555555557
428,1439.627022716932,1073.8695652173913
429,1456.2228097384386,1044.6060606060605
