,nhits,y,commodity
0,1133.8205136649103,1128.1147540983607,Onion
1,1126.55535227717,1117.9565217391305,Onion
2,1125.0088622475967,1124.8521126760563,Onion
3,1124.50577868235,1105.476821192053,Onion
4,1117.1184492596478,1106.873786407767,Onion
5,1117.1906430775305,1100.5935483870967,Onion
6,1109.4997480755833,1104.0065359477123,Onion
7,1100.4818902069267,1133.9066666666668,Onion
8,1103.456257164602,1111.716814159292,Onion
9,1094.294528766901,1128.0192307692307,Onion
10,1096.13260913269,1122.3149606299212,Onion
11,1088.2563411225856,1112.274336283186,Onion
12,1083.7304328024973,1130.2533333333333,Onion
13,1075.2179641493826,1127.9610389610389,Onion
14,1075.1240065166708,1139.9806451612903,Onion
15,1068.0381745194127,1138.1960784313726,Onion
16,1068.5961899201798,1123.0,Onion
17,1061.6970659207013,1117.20625,Onion
18,1055.4850544922324,1089.6909090909091,Onion
19,1053.5595544398568,1113.59375,Onion
20,1047.3862000252932,1111.53125,Onion
21,1044.0567293238332,1107.2337662337663,Onion
22,1040.745619400118,1097.3885350318471,Onion
23,1041.6131368251847,1097.578947368421,Onion
24,1034.373213568987,1094.935064935065,Onion
25,1029.7809658319254,1088.2882882882882,Onion
26,1033.5541288007385,1096.4050632911392,Onion
27,1030.306058275225,1098.5194805194806,Onion
28,1031.0140684611085,1114.4859154929577,Onion
29,1024.8961274116352,1104.0211267605634,Onion
30,1042.5348014293177,1090.386075949367,Onion
31,1041.250659707145,1106.2948717948718,Onion
32,1034.6825279489306,1072.4271844660195,Onion
33,1037.0863761479966,1092.0807453416148,Onion
34,1033.3755132894344,1086.246835443038,Onion
35,1035.5417705773525,1101.6447368421052,Onion
36,1025.2436649662939,1086.2866242038217,Onion
37,1026.1580877580277,1088.240506329114,Onion
38,1030.673790358171,1099.0205479452054,Onion
39,1026.9920420460887,1091.0,Onion
40,1034.7096080373997,1099.0,Onion
41,1033.7681164653218,1097.6582278481012,Onion
42,1035.8733501314298,1102.325,Onion
43,1032.593497843689,1101.364238410596,Onion
44,1040.0907650573843,1111.1049382716049,Onion
45,1044.3119581496849,1116.0194805194806,Onion
46,1046.2030264861728,1102.0747663551401,Onion
47,1045.490324125595,1122.45625,Onion
48,1041.5735951869412,1112.3396226415093,Onion
49,1041.4323617346708,1118.1612903225807,Onion
50,1036.3062931045388,1120.2597402597403,Onion
51,1041.3943408991531,1132.7088607594937,Onion
52,1041.949303884821,1164.483870967742,Onion
53,1041.4332502742147,1163.366972477064,Onion
54,1038.454771878953,1152.5359477124182,Onion
55,1038.142319495114,1148.5555555555557,Onion
56,1038.033981242314,1159.7328767123288,Onion
57,1036.9038591100639,1176.9105691056911,Onion
58,1035.6153073487949,1192.5524475524476,Onion
59,1038.2455037618024,1201.802919708029,Onion
60,1060.4542200561623,1223.5833333333333,Onion
61,1064.72323049669,1239.9657534246576,Onion
62,1070.5401080185711,1254.4166666666667,Onion
63,1079.368957427746,1280.8724832214766,Onion
64,1073.4031424168606,1310.8397435897436,Onion
65,1074.7339073599546,1352.938775510204,Onion
