,nbeats,nhits,tcn,tide,random_forest,xgboost,y
r2,-0.4392307275830061,-0.8494644292529665,-30577.221848828493,-13.600318655165518,-0.3118196880588191,-0.3099531622252114,1.0
mae,454.2969047175805,459.560354518104,36373.81441561776,1375.5297005420096,346.5450515321811,348.10200006278166,0.0
rmse,544.512736636243,617.256714546067,79368.6411688082,1734.2990997604968,519.8522209413642,519.4822527935536,0.0
