,nbeats,nhits,tcn,tide,random_forest,xgboost,y
r2,-5.908621110937528,-3.5215595385362874,-5.446054870349761,-0.10420354442790702,-2.1128227435149918,-2.1080492083164803,1.0
mae,318.91526143041966,265.94905275664456,315.1270489501025,116.58503892663984,211.6419896485717,211.34044937398608,0.0
rmse,378.37239111784817,306.10320637054775,365.4860041618182,151.2684372602404,253.98083536971578,253.78601996986774,0.0
