,nbeats,nhits,tcn,tide,random_forest,xgboost,y,commodity
0,2630.7594237054495,2623.8879683921787,2557.5952003290568,2660.181875669274,2628.4259971511747,2643.025,2581.8571428571427,Rice
1,2621.1667621648103,2601.8936731123176,2570.1711958877604,2604.860116201028,2623.117382857277,2628.4717,2681.1184210526317,Rice
2,2636.096739528896,2611.833684868548,2571.168593177196,2676.0486023780113,2624.806316655607,2614.6094,2662.7551020408164,Rice
3,2628.9888718678408,2623.976960931819,2569.672071951727,2644.9484239065832,2649.4772609693196,2645.8276,2594.2272727272725,Rice
4,2620.1341772971646,2608.8185727611403,2556.130975790151,2615.5591606698463,2630.170092117229,2636.5244,2559.9824561403507,Rice
5,2606.49293226901,2592.751539405919,2565.2126375853827,2637.5846280536057,2619.1602270781864,2633.146,2648.548672566372,Rice
6,2618.109975477358,2585.202495491088,2566.757539588574,2616.2869608416277,2613.2669306490184,2612.111,2645.1401869158876,Rice
7,2631.880563800965,2604.085137838712,2567.4039296515025,2639.5080583624003,2633.9138156919294,2673.8618,2586.7,Rice
8,2621.9797725911712,2591.9442521782285,2559.3437259603984,2649.044948726122,2619.435428691903,2619.1516,2604.4202898550725,Rice
9,2636.706845366756,2602.0036078646463,2573.3396219804986,2591.264761934081,2623.7838923461754,2635.858,2640.438596491228,Rice
10,2630.772640015132,2606.298145236548,2570.7367916660855,2675.1807696015912,2639.043618056862,2655.6746,2655.246753246753,Rice
11,2622.7688440668812,2596.7808184662877,2585.646993079729,2664.979808467049,2618.547863642919,2617.6719,2679.8275862068967,Rice
12,2602.8160438102304,2584.6103803317033,2557.0742736187526,2667.3587314316983,2613.0730648804706,2625.14,2655.8928571428573,Rice
13,2616.5728995176873,2583.6089590197957,2599.0633378415923,2630.7341758017333,2615.541110704161,2619.328,2655.0,Rice
14,2630.0088621206073,2608.799084634074,2573.762853778522,2608.399872122527,2650.2076806762143,2666.3745,2608.7619047619046,Rice
