,nbeats,nhits,tcn,tide,random_forest,xgboost,y,commodity
0,1123.9407776998657,1135.288606035165,1216.1774017669245,1115.9712797385544,1129.642151380496,1125.932,1128.1147540983607,Onion
1,1126.1607524230744,1132.3454383408566,1220.965911059655,1115.7242032977017,1129.770024489245,1124.6388,1117.9565217391305,Onion
2,1116.6909550525236,1128.9859904144012,1212.751398047421,1084.5175044467942,1130.3345977668855,1123.6396,1124.8521126760563,Onion
3,1115.16550795592,1126.017907649442,1215.684247283814,1111.3098594232397,1126.8231073743864,1125.0396,1105.476821192053,Onion
4,1103.5619765361905,1126.1358918662013,1259.962863954182,1137.5504655271716,1129.9761396157328,1123.6396,1106.873786407767,Onion
5,1094.3104567434848,1111.3101408469354,1307.4016294456142,1138.6299201403945,1129.4696936325706,1124.1444,1100.5935483870967,Onion
6,1101.1890120199225,1109.129627519686,1259.1959825038864,1123.9275997605923,1132.3532325648036,1125.7611,1104.0065359477123,Onion
7,1098.0521098821143,1105.2741088466423,1209.5956039849302,1125.5583650947863,1133.0126519994433,1124.1444,1133.9066666666668,Onion
8,1099.4523286667331,1101.4313669450771,1257.673752124119,1102.2370179942302,1132.3508286287988,1126.7489,1111.716814159292,Onion
9,1090.924076184074,1096.8568205827737,1227.4420195788473,1119.0606457982126,1131.8694598942084,1127.9308,1128.0192307692307,Onion
10,1087.1202115397566,1090.696145500869,1211.777740749964,1123.7642835967342,1131.88807556534,1126.3906,1122.3149606299212,Onion
11,1085.0347764606215,1090.9375378016657,1075.0374829108878,1115.700015061249,1133.8140089688814,1127.9308,1112.274336283186,Onion
12,1090.2662648255587,1080.5667264988517,1050.360063642078,1134.0958774173964,1131.6631940145742,1130.3844,1130.2533333333333,Onion
13,1086.6482553886576,1078.6009897887313,1068.1430566052668,1096.0445930597477,1133.6048182273,1130.7927,1127.9610389610389,Onion
14,1085.3955270317383,1080.5972905025278,1150.912046482708,1113.8328319223008,1131.3437481073308,1129.3853,1139.9806451612903,Onion
15,1084.364791325711,1070.4470058347042,1123.0116583159124,1116.2240497300975,1134.0774683678576,1130.4532,1138.1960784313726,Onion
16,1074.5631948544421,1060.7123923037386,1075.8940474878655,1113.8740754524213,1134.216656930322,1131.1368,1123.0,Onion
17,1071.7251029018112,1060.1320751618362,1036.2351105508492,1120.5355752814155,1133.6660434622527,1131.5972,1117.20625,Onion
18,1076.646777908438,1063.2918484794877,1096.3682820707113,1083.119295668777,1136.4160079596702,1129.7794,1089.6909090909091,Onion
19,1067.4433934467038,1061.2698092676667,1002.3140330166432,1124.8017645350856,1135.0718141012899,1130.7786,1113.59375,Onion
20,1069.8788869550276,1064.5042540369507,1001.3171629654722,1092.5230216514133,1137.2145662455366,1130.7786,1111.53125,Onion
21,1070.7413271051464,1058.348634171299,1039.6442761279625,1072.003837843928,1137.4042870943717,1130.2446,1107.2337662337663,Onion
22,1072.5529238488616,1060.1574215517085,1130.1211306055786,1087.7199878944652,1139.3085469266082,1130.2446,1097.3885350318471,Onion
23,1068.4849029405127,1055.8029648709687,1149.786201573095,1097.5556217242122,1139.397490700601,1130.2446,1097.578947368421,Onion
24,1068.2593379101932,1053.592380927184,1119.0695759453079,1092.8128752093019,1139.511190177884,1130.2446,1094.935064935065,Onion
25,1076.2266114709191,1063.1324819078627,1125.3094979317862,1063.2904247924316,1142.7124548274153,1132.3799,1088.2882882882882,Onion
26,1063.4717484075297,1056.8196479577634,1135.0753350310708,1083.3383812487443,1142.0101898033838,1130.2446,1096.4050632911392,Onion
27,1077.6768769630103,1063.5580532028252,1191.7209494283593,1097.2826664200484,1143.3518564156082,1132.3799,1098.5194805194806,Onion
28,1069.703673889479,1063.9825968235368,1159.0104999527568,1095.0286540239454,1143.352297439888,1132.3799,1114.4859154929577,Onion
29,1080.928437604703,1063.392621849294,1145.3670656895786,1096.4152432501187,1143.090212488613,1132.3799,1104.0211267605634,Onion
30,1068.7541292348074,1072.6917458923003,1470.6354527004232,1078.42761092372,1142.5216455293016,1127.7222,1090.386075949367,Onion
31,1066.5438808211888,1069.032851065946,1537.706451200635,1077.9214179533412,1142.6853769119998,1130.8046,1106.2948717948718,Onion
32,1060.3054218062496,1066.6279133249159,1489.780689608605,1071.0587580708163,1144.3011666045359,1132.3799,1072.4271844660195,Onion
33,1069.5037214588126,1068.2403189351853,1451.7633471162906,1093.1474799928637,1143.84418254427,1127.7222,1092.0807453416148,Onion
34,1061.9000430623796,1069.689898825287,1620.6571775086647,1103.0494326768844,1145.7103272168345,1130.8046,1086.246835443038,Onion
35,1054.8016408404635,1060.7893204955021,1697.4088544841857,1129.235001510437,1144.63126651182,1132.3799,1101.6447368421052,Onion
