,nbeats,nhits,tcn,tide,random_forest,xgboost,y
r2,-8.962433551094794,-4.1435489360388855,-621183.1198858027,-7.405059595539678,-1.4528803830615886,-1.5885841450510458,1.0
mae,1544.2893312691144,1212.0818852227155,217374.4777133689,1477.5271956423035,843.6083864809701,875.8633427777704,0.0
rmse,2180.6725656437125,1566.8924180926829,544525.1125169328,2002.987041536377,1082.0465035510329,1111.5752912245255,0.0
