,nbeats,nhits,tcn,tide,random_forest,xgboost,y
r2,-0.6108869017357239,-1.9647954123205418,-7.151067903346622,-14.429501554546128,-5.283232630227559,-3.9460783019504806,1.0
mae,93.82308856387425,112.98858515620849,201.93927239732346,325.9489440451149,220.0143120015314,192.38265309043362,0.0
rmse,121.28578302102503,164.5412287624732,272.82529079698116,375.36460593089055,239.5349784593581,212.5239430441836,0.0
