,nbeats,nhits,tcn,tide,random_forest,xgboost,y,commodity
0,2147.386477499486,2156.9976475009325,2177.7498325917327,2146.469420947462,2139.9698534557087,2139.7732,2136.9454545454546,Wheat
1,2150.919303302439,2159.3905745967377,2184.611167508576,2163.480801889563,2140.800418419357,2141.15,2137.3092783505153,Wheat
2,2165.435123414526,2165.609106353186,2180.439085075954,2179.2121399072325,2140.8437903206327,2141.15,2136.6614173228345,Wheat
3,2170.738546945869,2170.408440683319,2169.139815955852,2194.7949269381975,2139.667956531099,2141.15,2137.986577181208,Wheat
4,2168.550305123162,2169.142519631435,2165.8116303765482,2232.930014125839,2140.968411897716,2141.9539,2135.2716049382716,Wheat
5,2171.2106276982704,2169.8001147361856,2150.12889322855,2185.9857627560773,2140.810776062469,2142.215,2141.4324324324325,Wheat
6,2172.677526060759,2169.179213914167,2159.7979298560526,2220.5104467580277,2139.683952024416,2142.215,2142.041379310345,Wheat
7,2177.1903342814758,2170.394672428901,2154.980070974143,2167.2779975194553,2139.6586865991185,2142.215,2141.709923664122,Wheat
8,2179.1427658446246,2172.257256759593,2150.1856117908033,2199.8081712665617,2139.6042894174193,2142.215,2141.278350515464,Wheat
9,2199.4117166773035,2173.8227902782364,2153.348297539206,2217.819005179203,2139.612740033348,2142.215,2145.255172413793,Wheat
10,2197.5782688283916,2173.1495355737607,2152.4647089905425,2179.4476552309657,2139.6316326498713,2142.215,2145.3137254901962,Wheat
11,2208.3578691936386,2176.889370577907,2147.4934146511523,2229.4632748532927,2139.6743312181334,2142.215,2143.0470588235294,Wheat
12,2206.3472239844195,2180.137230979802,2147.0653072870373,2205.551039660582,2139.587510956919,2142.215,2149.4594594594596,Wheat
13,2204.4150385718467,2173.7764196575595,2152.171531332595,2216.253666335914,2139.856135686221,2143.762,2152.7414965986395,Wheat
14,2201.2841275089495,2175.8835789854293,2154.079019871283,2182.5485474000643,2139.981306118517,2142.4917,2155.6901408450703,Wheat
15,2201.750659929264,2173.5684515819507,2155.8555622535255,2164.543366145333,2140.557222791921,2143.762,2158.6428571428573,Wheat
16,2210.4057981550814,2181.392262731158,2156.636644695398,2183.385174906351,2140.7294164624113,2143.762,2167.1266233766232,Wheat
17,2232.3025459408277,2179.9317705744934,2152.0717619259945,2220.0891428585,2140.716116399674,2143.762,2168.8223684210525,Wheat
18,2216.4378382965274,2174.2986942272223,2150.4425082545317,2191.1019471501304,2140.758799051889,2143.762,2166.3988764044943,Wheat
19,2212.1050175886435,2174.0122634098434,2156.5635503736416,2202.120308192556,2140.5902491983784,2143.762,2175.510067114094,Wheat
20,2220.008320124369,2173.7986744382674,2152.1608924580396,2234.6733355094975,2140.889256419917,2143.762,2178.449324324324,Wheat
21,2220.9035819473356,2178.900807655197,2140.54285291576,2224.5524685589367,2141.412303922608,2143.762,2186.059027777778,Wheat
22,2217.192473611173,2179.2618124422443,2152.2428867417934,2203.0548151430116,2141.2113892832913,2143.762,2192.055944055944,Wheat
23,2233.7639762917597,2177.6391345039992,2152.163030419445,2145.9876954497195,2141.3140900602734,2143.762,2201.9044585987263,Wheat
24,2229.905283012531,2182.060142108269,2151.7353350681365,2179.610682623151,2141.352931427375,2143.762,2202.8523489932886,Wheat
25,2223.4406725457347,2183.752766404388,2149.215535267263,2175.465072506261,2141.4573737775613,2143.762,2199.5569620253164,Wheat
26,2226.4057708310197,2175.8822611250102,2155.4045945865755,2203.7991947367104,2141.41303686481,2143.762,2207.9864864864867,Wheat
27,2229.423683481544,2181.8304349717873,2154.001711987987,2145.4660544925237,2141.5772947938854,2143.762,2215.1205673758864,Wheat
28,2228.3290323477895,2187.7946763725395,2156.215197143659,2189.4362285242537,2141.5844896811714,2143.762,2221.4172661870502,Wheat
29,2233.976032308643,2179.960312168389,2153.404119928258,2184.051704379272,2141.7088064850714,2143.762,2228.5071428571428,Wheat
30,2234.6475777078817,2204.667114128071,2199.705049129329,2199.175949346948,2141.717909075794,2143.762,2225.7482517482517,Wheat
31,2226.010571984213,2203.4710613190405,2207.856689105458,2160.5016568159854,2141.7149187106825,2143.762,2227.374149659864,Wheat
32,2230.6776027408155,2208.4678001770076,2202.9472540966017,2253.033920715063,2141.7274003102366,2143.762,2228.6176470588234,Wheat
