,nhits,y
0,2509.4200247744147,2578.911111111111
1,2496.3325854695286,2551.5971223021584
2,2431.3601446845746,2512.6235294117646
3,2495.7696044715635,2449.7291666666665
4,2505.8296749669867,2580.9760479041915
5,2495.0454345337084,2601.0462427745665
6,2478.2236089496273,2618.3788819875776
7,2495.477590064011,2595.285714285714
8,2478.9480640184456,2584.9054054054054
9,2440.684358516214,2564.8993288590605
10,2487.9061445784737,2463.864864864865
11,2501.602262197249,2593.326797385621
12,2495.167990534526,2597.930817610063
13,2483.701838702249,2575.6139240506327
14,2489.4970914886,2573.177304964539
15,2491.106936346932,2580.4575163398695
16,2432.5981423280105,2582.7913669064747
17,2487.206972269015,2470.9574468085107
18,2483.631608920028,2595.451612903226
19,2485.769975020852,2590.173076923077
20,2486.4906868264216,2588.1153846153848
21,2504.7645964023313,2592.907894736842
22,2482.320157408044,2601.6496350364964
23,2440.4841062379683,2541.672727272727
24,2492.4359501111176,2533.7368421052633
25,2503.4943965555503,2623.358974358974
26,2494.900282801251,2654.6434782608694
27,2506.3058996862,2659.268456375839
28,2519.994714716784,2683.751677852349
29,2512.0798065842155,2698.5584415584417
30,2438.3090841030216,2665.2410714285716
31,2472.9370675149357,2635.0545454545454
32,2480.518938017278,2770.9936305732485
33,2479.144832629856,2812.4620253164558
34,2494.6570143300287,2833.5714285714284
35,2481.1770338410965,2586.2702702702704
36,2480.1148374595746,2711.0833333333335
37,2440.4182202153047,2527.485294117647
38,2489.3028016131816,2525.2083333333335
39,2499.6376594337635,2590.237804878049
40,2501.5834632010356,2553.650684931507
41,2514.7758278222245,2598.449275362319
42,2517.837905522814,2569.455172413793
43,2503.657518853293,2565.5314685314684
44,2473.173277930751,2536.3868613138684
45,2518.4455528210037,2469.162162162162
46,2522.745439620883,2529.328671328671
47,2526.358868525591,2546.3071895424837
48,2541.186237337516,2545.6944444444443
49,2546.7218473247713,2508.378787878788
50,2542.262116319325,2508.376811594203
51,2501.9092909369315,2396.2285714285713
52,2555.2251752701854,2364.6923076923076
53,2567.6191794540073,2325.7
54,2561.9697766922236,2303.309210526316
55,2574.527165407761,2305.0733333333333
56,2569.903421766022,2300.863309352518
57,2558.185431670504,2294.6492537313434
58,2532.236599094943,2236.535714285714
59,2585.1376584334107,2232.340909090909
60,2545.3950895427647,2258.883333333333
61,2544.103926965048,2196.7018633540374
62,2530.9117528031416,2184.496644295302
63,2546.4479744366377,2194.3333333333335
64,2543.536345945836,2176.1744966442952
65,2498.8630838886043,2196.8571428571427
66,2545.1836352873183,2141.135593220339
67,2559.134476231433,2168.639751552795
68,2548.7689082661777,2169.261744966443
69,2539.0448463593757,2165.6774193548385
70,2551.619846488017,2154.4452554744526
71,2540.578473825873,2170.625
72,2504.908509211839,2150.106617647059
73,2551.708549064459,2119.2
74,2553.718127098276,2132.232824427481
75,2553.1977459202685,2129.688888888889
76,2543.3635529049357,2098.309523809524
77,2551.877702900099,2113.2444444444445
78,2539.507939310628,2132.353846153846
79,2507.4338023367022,2110.5810810810813
80,2554.2250367842216,2090.901960784314
81,2558.516388833443,2101.5381502890173
82,2549.2783040958257,2120.6000000000004
83,2537.992362803162,2095.462837837838
84,2566.249940444266,2148.5588235294117
85,2546.917890289052,2116.793548387097
86,2510.292056712244,2122.9473684210525
87,2564.1665247782107,2098.116666666667
88,2567.553221008631,2137.102564102564
89,2565.9619942461177,2140.296
90,2526.3226821689955,2130.032258064516
91,2528.7511408399682,2095.1714285714284
92,2512.4488044129535,2143.987804878049
93,2474.2224466673856,2130.4862385321103
94,2530.3752564208935,2093.0933333333332
95,2525.6912098578805,2133.6785714285716
96,2522.12614398987,2135.0994475138123
97,2529.780366950765,2118.4117647058824
98,2531.1833510410884,2081.6666666666665
99,2514.3447562586307,2099.3522727272725
100,2473.006509909184,2104.5408163265306
101,2529.1754738500035,2095.3086419753085
102,2529.725236140614,2073.198198198198
103,2526.1137607915093,2142.514450867052
